Unnamed: 0,Unnamed: 1,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2020-12-31,73-Jährige,93270,120466.0,28516.0,21948.0,6133.0,14415.0,57523.0,14589.0,72831.0,153681.0,35104.0,8931.0,38282.0,22022.0,28793.0,21184.0
2020-12-31,74-Jährige,80408,104622.0,21931.0,14670.0,5900.0,13133.0,48490.0,9620.0,67032.0,138946.0,30820.0,7104.0,28403.0,17458.0,26654.0,17166.0
2020-12-31,75-Jährige,68157,83363.0,24325.0,17163.0,4614.0,11637.0,39741.0,10177.0,52150.0,115196.0,25551.0,6449.0,33043.0,17569.0,21608.0,16009.0
2020-12-31,76-Jährige,87529,106677.0,31525.0,25330.0,5665.0,14420.0,52362.0,14984.0,68832.0,147124.0,33032.0,8616.0,47454.0,24188.0,28309.0,22950.0
2020-12-31,77-Jährige,87236,104910.0,33071.0,26743.0,5867.0,14385.0,51095.0,16032.0,69879.0,145033.0,32351.0,8249.0,46250.0,24563.0,28821.0,22573.0
2020-12-31,78-Jährige,84659,100096.0,30575.0,25478.0,5749.0,13662.0,47755.0,15164.0,66448.0,138131.0,30909.0,7949.0,42151.0,23788.0,27087.0,20744.0
2020-12-31,79-Jährige,99761,119051.0,34497.0,30669.0,6316.0,15321.0,56059.0,18834.0,78788.0,161071.0,37642.0,10025.0,50869.0,28184.0,31938.0,25851.0
2020-12-31,80-Jährige,101465,122919.0,31884.0,29793.0,6371.0,15384.0,58140.0,18334.0,79569.0,168364.0,39557.0,10043.0,50632.0,27790.0,31281.0,26933.0
2020-12-31,81-Jährige,96990,117332.0,28919.0,28001.0,6009.0,14170.0,54864.0,17892.0,75253.0,160008.0,37437.0,9988.0,47715.0,25909.0,29819.0,25146.0
2020-12-31,82-Jährige,86633,101410.0,25900.0,24501.0,5572.0,12868.0,48233.0,15914.0,68684.0,144558.0,33395.0,8729.0,41276.0,22148.0,26723.0,20914.0
2020-12-31,83-Jährige,76392,87825.0,22976.0,21479.0,4831.0,11524.0,42457.0,13634.0,59798.0,129066.0,29663.0,8358.0,35874.0,19409.0,23302.0,17876.0
2020-12-31,84-Jährige,69118,78089.0,20741.0,19693.0,4429.0,10430.0,38564.0,12427.0,53062.0,116198.0,26927.0,7702.0,32871.0,17527.0,20598.0,16293.0
2020-12-31,85-Jährige,61271,68325.0,18463.0,17582.0,3805.0,9346.0,33718.0,11112.0,47106.0,103642.0,23727.0,6465.0,29887.0,15749.0,18012.0,14360.0
2020-12-31,86-Jährige,50744,57834.0,15817.0,14568.0,3264.0,7518.0,28466.0,9445.0,39324.0,88677.0,20046.0,5090.0,25318.0,13289.0,14850.0,12145.0
2020-12-31,87-Jährige,38312,43512.0,10243.0,10105.0,2244.0,5301.0,20549.0,6791.0,27702.0,62723.0,14619.0,3985.0,17717.0,9317.0,9953.0,8377.0
2020-12-31,88-Jährige,33330,38699.0,8576.0,8811.0,1938.0,4580.0,18106.0,6091.0,24439.0,55507.0,12764.0,3583.0,15081.0,8137.0,8488.0,7415.0
2020-12-31,89-Jährige,29520,33392.0,7694.0,7667.0,1749.0,4168.0,15998.0,5061.0,22048.0,49406.0,11429.0,3179.0,13748.0,7079.0,7715.0,6428.0
2020-12-31,90 Jahre und mehr,108225,122252.0,30029.0,26464.0,7160.0,17250.0,62984.0,16715.0,83231.0,184859.0,43862.0,10966.0,51868.0,24957.0,29586.0,23283.0
2020-12-31,Insgesamt,11103043,13140183.0,3664088.0,2531071.0,680130.0,1852478.0,6293154.0,1610774.0,8003421.0,17925570.0,4098391.0,983991.0,4056941.0,2180684.0,2910875.0,2120237.0
,ID Bundesland,8,9.0,11.0,12.0,4.0,2.0,6.0,13.0,3.0,5.0,7.0,10.0,14.0,15.0,1.0,16.0
,,83155031,,,,,,,,,,,,,,,
